msAext.hmt:1.564 (11) vs msAim.hmt:1.566 (6): 1.0 (16.67%)	Im & Ext	msAext.hmt:1.564 (11) vs msAim.hmt:1.566 (6): 1.0 (16.67%)
msA.hmt:10.1551 (37) vs msAext.hmt:10.1557 (2): 1.0 (50.0%)	Main & Ext	msA.hmt:10.1551 (37) vs msAext.hmt:10.1557 (2): 1.0 (50.0%)
msA.hmt:10.2004 (42) vs msAext.hmt:10.2000 (5): 1.0 (20.0%)	Main & Ext	msA.hmt:10.2004 (42) vs msAext.hmt:10.2000 (5): 1.0 (20.0%)
msAim.hmt:10.3516 (3) vs msAext.hmt:10.3526 (2): 1.0 (50.0%)	Im & Ext	msAim.hmt:10.3516 (3) vs msAext.hmt:10.3526 (2): 1.0 (50.0%)
msAint.hmt:11.12 (9) vs msAext.hmt:11.6 (6): 6.0 (100.0%)	Int & Ext	msAint.hmt:11.12 (9) vs msAext.hmt:11.6 (6): 6.0 (100.0%)
msAim.hmt:11.55 (4) vs msAext.hmt:11.12 (2): 1.0 (50.0%)	Im & Ext	msAim.hmt:11.55 (4) vs msAext.hmt:11.12 (2): 1.0 (50.0%)
msAim.hmt:12.G2 (3) vs msAext.hmt:12.G1 (1): 1.0 (100.0%)	Im & Ext	msAim.hmt:12.G2 (3) vs msAext.hmt:12.G1 (1): 1.0 (100.0%)
msA.hmt:14.E13 (41) vs msAext.hmt:14.E2 (3): 1.0 (33.33%)	Main & Ext	msA.hmt:14.E13 (41) vs msAext.hmt:14.E2 (3): 1.0 (33.33%)
msAint.hmt:14.C4 (7) vs msAext.hmt:14.C2 (4): 1.0 (25.0%)	Int & Ext	msAint.hmt:14.C4 (7) vs msAext.hmt:14.C2 (4): 1.0 (25.0%)
msAint.hmt:14.H4 (5) vs msAext.hmt:14.H1 (4): 4.0 (100.0%)	Int & Ext	msAint.hmt:14.H4 (5) vs msAext.hmt:14.H1 (4): 4.0 (100.0%)
msAim.hmt:15.40 (4) vs msAext.hmt:15.12 (2): 2.0 (100.0%)	Im & Ext	msAim.hmt:15.40 (4) vs msAext.hmt:15.12 (2): 2.0 (100.0%)
msAim.hmt:15.76 (7) vs msAext.hmt:15.24 (3): 1.0 (33.33%)	Im & Ext	msAim.hmt:15.76 (7) vs msAext.hmt:15.24 (3): 1.0 (33.33%)
msAim.hmt:15.12 (14) vs msAext.hmt:15.8 (2): 1.0 (50.0%)	Im & Ext	msAim.hmt:15.12 (14) vs msAext.hmt:15.8 (2): 1.0 (50.0%)
msAim.hmt:17.7 (9) vs msAext.hmt:17.1 (5): 1.0 (20.0%)	Im & Ext	msAim.hmt:17.7 (9) vs msAext.hmt:17.1 (5): 1.0 (20.0%)
msA.hmt:18.127 (28) vs msAext.hmt:18.4 (8): 2.0 (25.0%)	Main & Ext	msA.hmt:18.127 (28) vs msAext.hmt:18.4 (8): 2.0 (25.0%)
msA.hmt:5.1052 (48) vs msAext.hmt:5.6055 (1): 1.0 (100.0%)	Main & Ext	msA.hmt:5.1052 (48) vs msAext.hmt:5.6055 (1): 1.0 (100.0%)
msAim.hmt:5.4047 (7) vs msAext.hmt:5.4078 (2): 1.0 (50.0%)	Im & Ext	msAim.hmt:5.4047 (7) vs msAext.hmt:5.4078 (2): 1.0 (50.0%)
msA.hmt:6.149 (44) vs msAext.hmt:6.300 (4): 1.0 (25.0%)	Main & Ext	msA.hmt:6.149 (44) vs msAext.hmt:6.300 (4): 1.0 (25.0%)
msAim.hmt:7.1042 (12) vs msAext.hmt:7.1047 (5): 2.0 (40.0%)	Im & Ext	msAim.hmt:7.1042 (12) vs msAext.hmt:7.1047 (5): 2.0 (40.0%)
msA.hmt:8.155 (30) vs msAext.hmt:8.1001 (2): 1.0 (50.0%)	Main & Ext	msA.hmt:8.155 (30) vs msAext.hmt:8.1001 (2): 1.0 (50.0%)
msA.hmt:8.66 (35) vs msAext.hmt:8.1000 (2): 1.0 (50.0%)	Main & Ext	msA.hmt:8.66 (35) vs msAext.hmt:8.1000 (2): 1.0 (50.0%)
