Zones Being Compared	Z-Score	Significance (p < 0.05)	Comment
msA & msAim	13.76	Statisically Significant
msA & msAint	1.43	Not Statistically Significant
msA & msAil	21.34	Statisically Significant
msA & msAext	0.67	Not Statistically Significant
msAim & msAint	7.39	Statisically Significant
msAim & msAil	26.35	Statisically Significant
msAim & msAext	2.34	Statisically Significant
msAint & msAil	20.93	Statisically Significant
msAint & msAext	0.24	Not Statistically Significant
msAil & msAext	15.8	Statisically Significant
