urn,name
urn:cite:hmt:pers.pers215,Diomedes
urn:cite:hmt:pers.pers167,Clio
urn:cite:hmt:pers.pers40,Apollo
urn:cite:hmt:pers.pers250,Ixion
urn:cite:hmt:pers.pers19,Thetis
urn:cite:hmt:pers.pers218,Alcimedon
urn:cite:hmt:pers.pers659,Themis
urn:cite:hmt:pers.pers216,Pandarus
urn:cite:hmt:pers.pers818,Alcimos
urn:cite:hmt:pers.pers37,Titans
urn:cite:hmt:pers.pers142,Aeneas
urn:cite:hmt:pers.pers44,Chryses
urn:cite:hmt:pers.pers482,Phobos
urn:cite:hmt:pers.pers33,Iphigenia
urn:cite:hmt:pers.pers340,Cronius
urn:cite:hmt:pers.pers486,Isos
urn:cite:hmt:pers.pers159,Talthybius
urn:cite:hmt:pers.pers195,Sarpedon
urn:cite:hmt:pers.pers515,Dolops
urn:cite:hmt:pers.pers283,Epaphroditus
urn:cite:hmt:pers.pers449,Amphitrite
urn:cite:hmt:pers.pers222,Thoas
urn:cite:hmt:pers.pers505,Alcathous
urn:cite:hmt:pers.pers71,Heracles
urn:cite:hmt:pers.pers589,Eurymedon
urn:cite:hmt:pers.pers479,Bienor
urn:cite:hmt:pers.pers983,Eriopis
urn:cite:hmt:pers.pers184,Peleus
urn:cite:hmt:pers.pers531,Agastrophus
urn:cite:hmt:pers.pers201,Hades
urn:cite:hmt:pers.pers127,Ajax
urn:cite:hmt:pers.pers160,Eurybates
urn:cite:hmt:pers.pers83,Ares
urn:cite:hmt:pers.pers277,Peteus
urn:cite:hmt:pers.pers1061,Phrontis
urn:cite:hmt:pers.pers154,Elatus
urn:cite:hmt:pers.pers266,Stentor
urn:cite:hmt:pers.pers229,Odius
urn:cite:hmt:pers.pers139,Cronus
