-	-	Most Frequent Occuring Words for Scholia Type	-	-
urn	name	Occurrences of Name in Scholia Type	Percentage of Name against Total Names Mentioned	Percentage of Name against Total Nummber of Words in Scholia Type
urn:cite:hmt:pers.pers16	Aristarchus	91	38.56%	1.6%
urn:cite:hmt:pers.pers21	Aristophanes	21	8.9%	0.37%
urn:cite:hmt:pers.pers15	Zenodotus	21	8.9%	0.37%
urn:cite:hmt:pers.pers1	Achilles	5	2.12%	0.09%
urn:cite:hmt:pers.pers8	Zeus	4	1.69%	0.07%
urn:cite:hmt:pers.pers119	Menelaus	4	1.69%	0.07%
urn:cite:hmt:pers.pers172	Hector	4	1.69%	0.07%
urn:cite:hmt:pers.pers118	Odysseus	3	1.27%	0.05%
urn:cite:hmt:pers.pers158	Patroclus	3	1.27%	0.05%
urn:cite:hmt:pers.pers493	"Aelius Herodianus"	3	1.27%	0.05%
urn:cite:hmt:pers.pers145	Priam	3	1.27%	0.05%
urn:cite:hmt:pers.pers525	Nicander	2	0.85%	0.04%
urn:cite:hmt:pers.pers566	Terpsichore	2	0.85%	0.04%
urn:cite:hmt:pers.pers211	Dionysius	2	0.85%	0.04%
urn:cite:hmt:pers.pers567	Euterpe	2	0.85%	0.04%
urn:cite:hmt:pers.pers85	Rhianus	2	0.85%	0.04%
urn:cite:hmt:pers.pers120	Aegialeus	1	0.42%	0.02%
urn:cite:hmt:pers.pers569	Erato	1	0.42%	0.02%
urn:cite:hmt:pers.pers452	Rhesus	1	0.42%	0.02%
urn:cite:hmt:pers.pers597	Brontes	1	0.42%	0.02%
urn:cite:hmt:pers.pers175	Didymus	1	0.42%	0.02%
urn:cite:hmt:pers.pers615	Diogenes	1	0.42%	0.02%
urn:cite:hmt:pers.pers544	Orpheus	1	0.42%	0.02%
urn:cite:hmt:pers.pers17	Homer	1	0.42%	0.02%
urn:cite:hmt:pers.pers22	Agamemnon	1	0.42%	0.02%
urn:cite:hmt:pers.pers59	Dionysus	1	0.42%	0.02%
urn:cite:hmt:pers.pers110	Alexander	1	0.42%	0.02%
urn:cite:hmt:pers.pers221	Parmeniscus	1	0.42%	0.02%
urn:cite:hmt:pers.pers287	Idomeneus	1	0.42%	0.02%
urn:cite:hmt:pers.pers124	Apis	1	0.42%	0.02%
urn:cite:hmt:pers.pers251	Tydeus	1	0.42%	0.02%
urn:cite:hmt:pers.pers98	Ptolemy	1	0.42%	0.02%
urn:cite:hmt:pers.pers260	Oroandes	1	0.42%	0.02%
urn:cite:hmt:pers.pers282	Iris	1	0.42%	0.02%
urn:cite:hmt:pers.pers94	Helen	1	0.42%	0.02%
urn:cite:hmt:pers.pers6	Muse	1	0.42%	0.02%
urn:cite:hmt:pers.pers79	Laomedon	1	0.42%	0.02%
urn:cite:hmt:pers.pers565	Linus	1	0.42%	0.02%
urn:cite:hmt:pers.pers480	Polydamas	1	0.42%	0.02%
urn:cite:hmt:pers.pers47	Poseidon	1	0.42%	0.02%
urn:cite:hmt:pers.pers104	Hermes	1	0.42%	0.02%
urn:cite:hmt:pers.pers126	Argus	1	0.42%	0.02%
urn:cite:hmt:pers.pers75	Herodianus	1	0.42%	0.02%
urn:cite:hmt:pers.pers492	Antimachus	1	0.42%	0.02%
urn:cite:hmt:pers.pers286	Eos	1	0.42%	0.02%
urn:cite:hmt:pers.pers405	Phoenix	1	0.42%	0.02%
urn:cite:hmt:pers.pers474	Dolon	1	0.42%	0.02%
urn:cite:hmt:pers.pers572	Polyhymnia	1	0.42%	0.02%
urn:cite:hmt:pers.pers519	Orus	1	0.42%	0.02%
urn:cite:hmt:pers.pers163	Aristonicus	1	0.42%	0.02%
urn:cite:hmt:pers.pers484	Philotimus	1	0.42%	0.02%
urn:cite:hmt:pers.pers112	Sosigenes	1	0.42%	0.02%
urn:cite:hmt:pers.pers553	Oenomaus	1	0.42%	0.02%
urn:cite:hmt:pers.pers241	Ibycus	1	0.42%	0.02%
urn:cite:hmt:pers.pers116	Hera	1	0.42%	0.02%
urn:cite:hmt:pers.pers105	Tyrannion	1	0.42%	0.02%
urn:cite:hmt:pers.pers564	Calliope	1	0.42%	0.02%
urn:cite:hmt:pers.pers46	Tantalus	1	0.42%	0.02%
urn:cite:hmt:pers.pers123	Oceanus	1	0.42%	0.02%
urn:cite:hmt:pers.pers151	Ixion	1	0.42%	0.02%
urn:cite:hmt:pers.pers545	Achelous	1	0.42%	0.02%
urn:cite:hmt:pers.pers542	Ennomus	1	0.42%	0.02%
urn:cite:hmt:pers.pers122	Melia	1	0.42%	0.02%
urn:cite:hmt:pers.pers443	Eumelus	1	0.42%	0.02%
urn:cite:hmt:pers.pers571	Melpomene	1	0.42%	0.02%
urn:cite:hmt:pers.pers657	Archilochus	1	0.42%	0.02%
urn:cite:hmt:pers.pers4	Hesiod	1	0.42%	0.02%
urn:cite:hmt:pers.pers613	Amopaon	1	0.42%	0.02%
urn:cite:hmt:pers.pers117	Nestor	1	0.42%	0.02%
urn:cite:hmt:pers.pers121	Inachus	1	0.42%	0.02%
urn:cite:hmt:pers.pers563	Orion	1	0.42%	0.02%
urn:cite:hmt:pers.pers307	Ammonius	1	0.42%	0.02%
urn:cite:hmt:pers.pers568	Thalia	1	0.42%	0.02%
urn:cite:hmt:pers.pers570	Palaiphatos	1	0.42%	0.02%
urn:cite:hmt:pers.pers24	Pelops	1	0.42%	0.02%
urn:cite:hmt:pers.pers125	Phoroneus	1	0.42%	0.02%
urn:cite:hmt:pers.pers546	Triptolemus	1	0.42%	0.02%
urn:cite:hmt:pers.pers455	Thamyris	1	0.42%	0.02%
urn:cite:hmt:pers.pers67	Athena	1	0.42%	0.02%
